matchers                           ,22170941   ,2900184   ,3.11
uuid                               ,37203705   ,4862601   ,3.11
cxxbridge-flags                    ,5317325    ,691954    ,3.12
alloc-no-stdlib                    ,12626899   ,1640899   ,3.13
alloc-stdlib                       ,12604690   ,1637981   ,3.13
bit-vec                            ,22257925   ,2890424   ,3.13
concurrent-queue                   ,18090540   ,2351098   ,3.13
protobuf                           ,6990859    ,907982    ,3.13
redis                              ,5642065    ,731720    ,3.13
rusqlite                           ,3374931    ,438728    ,3.13
scratch                            ,5105234    ,662760    ,3.13
tower-layer                        ,24621350   ,3191446   ,3.13
wasm-bindgen-futures               ,15500282   ,2010851   ,3.13
windows-core                       ,24606144   ,3197306   ,3.13
bitvec                             ,15613866   ,2022578   ,3.14
cxx                                ,5463288    ,707076    ,3.14
cxxbridge-macro                    ,5465915    ,706103    ,3.14
indicatif                          ,10307264   ,1334318   ,3.14
lalrpop-util                       ,4598107    ,594386    ,3.14
link-cplusplus                     ,5493265    ,710611    ,3.14
radium                             ,15569669   ,2012603   ,3.14
zerocopy-derive                    ,34564508   ,4473755   ,3.14
cxx-build                          ,5192941    ,669412    ,3.15
fixed-hash                         ,2766720    ,356822    ,3.15
funty                              ,15450229   ,1991286   ,3.15
parking                            ,17682871   ,2282118   ,3.15
valuable                           ,14254647   ,1836221   ,3.15
xattr                              ,11502849   ,1481669   ,3.15
zstd-sys                           ,18932955   ,2438765   ,3.15
async-lock                         ,16509604   ,2123137   ,3.16
constant_time_eq                   ,15874492   ,2037965   ,3.16
core-foundation-sys                ,19161790   ,2459788   ,3.16
crossterm                          ,9440556    ,1213438   ,3.16
derivative                         ,11110219   ,1428608   ,3.16
libloading                         ,24303644   ,3123003   ,3.16
number_prefix                      ,10195188   ,1310957   ,3.16
redox_syscall                      ,32053963   ,4120925   ,3.16
wyz                                ,15490173   ,1994052   ,3.16
async-task                         ,11631707   ,1491953   ,3.17
borsh                              ,10042727   ,1286095   ,3.17
num-complex                        ,19380330   ,2481723   ,3.17
ring                               ,37368974   ,4792153   ,3.17
tap                                ,15718822   ,2014034   ,3.17
unicode-linebreak                  ,6468811    ,827653    ,3.18
cpp_demangle                       ,5476496    ,696878    ,3.19
curve25519-dalek-derive            ,8022028    ,1021656   ,3.19
hermit-abi                         ,31272661   ,3987177   ,3.19
hmac                               ,26119117   ,3327781   ,3.19
wasi                               ,42460214   ,5404740   ,3.19
windows-result                     ,20869627   ,2657046   ,3.19
yasna                              ,3108035    ,395742    ,3.19
hyper                              ,45255323   ,5745164   ,3.20
proptest                           ,11266708   ,1431379   ,3.20
sha-1                              ,5283737    ,670603    ,3.20
utf-8                              ,11897105   ,1511846   ,3.20
windows-sys                        ,60757390   ,7718234   ,3.20
atomic                             ,4283491    ,542674    ,3.21
blocking                           ,11212600   ,1419923   ,3.21
foldhash                           ,19494244   ,2466064   ,3.21
http-body                          ,43633541   ,5516991   ,3.21
nalgebra                           ,5928731    ,749617    ,3.21
pin-project                        ,27653176   ,3496819   ,3.21
pin-project-internal               ,27620821   ,3493454   ,3.21
untrusted                          ,36157768   ,4577556   ,3.21
crypto-mac                         ,5038160    ,634828    ,3.22
ctrlc                              ,7671246    ,966922    ,3.22
proc-macro-crate                   ,26759531   ,3378856   ,3.22
windows-implement                  ,15091278   ,1903821   ,3.22
data-encoding                      ,19255751   ,2424769   ,3.23
gethostname                        ,6335793    ,796685    ,3.23
lzma-sys                           ,4991155    ,628284    ,3.23
num-rational                       ,20048371   ,2524979   ,3.23
xml-rs                             ,7744932    ,973276    ,3.23
git2                               ,6102895    ,764904    ,3.24
h2                                 ,40512109   ,5072349   ,3.24
libgit2-sys                        ,6045885    ,758841    ,3.24
rcgen                              ,3215655    ,402917    ,3.24
simba                              ,4553842    ,571742    ,3.24
xz2                                ,4952963    ,621691    ,3.24
derive_more-impl                   ,12121881   ,1513480   ,3.25
dunce                              ,14205351   ,1775017   ,3.25
http-body-util                     ,25730107   ,3215308   ,3.25
pest                               ,17165224   ,2146872   ,3.25
windows-interface                  ,14907592   ,1861777   ,3.25
assert_cmd                         ,4948702    ,615782    ,3.26
async-recursion                    ,9681260    ,1206386   ,3.26
block-padding                      ,6339051    ,789521    ,3.26
bzip2                              ,9493106    ,1181324   ,3.26
indenter                           ,6959774    ,866593    ,3.26
insta                              ,5913288    ,736907    ,3.26
primeorder                         ,6329943    ,788869    ,3.26
rustls-pemfile                     ,37633328   ,4687038   ,3.26
async-executor                     ,9360773    ,1162491   ,3.27
